          TS_Te        TS_Terr         T15_Te       T15_Terr          TS_ne        TS_nerr         T15_ne       T15_nerr        TS_chi2       T15_chi2
       129.1299         3.9968       117.3909         7.5641     4.1252e+04     7.1220e+02     1.3695e-24     4.9476e-26        19.9850         5.2367
       228.7616         6.0617       171.8719         8.8316     4.4310e+04     7.1084e+02     1.6685e-24     5.4026e-26         4.4366         6.5663
       251.6377         8.7771       228.7616        13.2097     3.4923e+04     6.4313e+02     1.1990e-24     4.5273e-26         4.0591         4.6859
       490.3707        11.7066       490.3707        22.8215     5.7392e+04     7.8400e+02     2.0019e-24     5.5794e-26         2.6554        10.4675
       539.4078        12.8352       539.4078        24.3492     6.5126e+04     8.2991e+02     2.3755e-24     6.0205e-26         2.9021        10.8193
       652.6834        17.0651       593.3486        32.0220     6.2107e+04     8.0858e+02     2.0212e-24     5.5714e-26         1.1488         2.9564
       717.9518        19.5789       717.9518        42.3262     6.2633e+04     8.0801e+02     2.0170e-24     5.5278e-26         1.0405        10.6678
       789.7470        22.5873       717.9518        41.4131     6.2808e+04     8.0569e+02     2.1285e-24     5.6105e-26         2.3900         3.2431
       955.5938        30.2649       868.7217        55.4404     6.5695e+04     8.2972e+02     2.3522e-24     6.0209e-26         1.0673         5.0840
      1051.1532        36.3951      1051.1532        81.5546     6.3832e+04     8.2772e+02     2.1859e-24     5.9963e-26         2.3750         7.1347
      1271.8954        51.6942      1156.2685       100.5522     6.3681e+04     8.6920e+02     2.0815e-24     5.9894e-26         0.6105         6.9391
      1399.0849        64.5602      1156.2685       104.7284     5.7579e+04     8.4803e+02     1.9375e-24     5.8038e-26         1.6342         1.9953
      1399.0849        67.6948      1156.2685       111.6442     5.2785e+04     8.1900e+02     1.6865e-24     5.4612e-26         0.3283         6.8476
      1399.0849        70.4593      1271.8954       148.0257     4.9294e+04     7.9619e+02     1.5303e-24     5.7696e-26         0.8007         7.8245
      1399.0849        74.0796      1271.8954       141.8758     4.4273e+04     7.4786e+02     1.4825e-24     5.2824e-26         4.9391        13.0728
      1399.0849        76.5191      1156.2685       127.1993     4.1829e+04     7.3441e+02     1.3870e-24     5.0495e-26         3.6021         4.5933
      1538.9934        96.1833      1271.8954       154.2593     3.8284e+04     7.4016e+02     1.2844e-24     4.9802e-26         4.0862         3.4565
      1271.8954        71.5177      1051.1532       123.5493     3.3511e+04     6.3117e+02     1.0011e-24     4.1027e-26         2.0301         3.5198
      1051.1532        54.7268       868.7217       113.2876     2.9662e+04     5.7793e+02     9.7437e-25     5.1187e-26         3.5605         2.0881
      1051.1532        54.8635       868.7217       111.2627     2.8332e+04     5.5697e+02     9.4331e-25     4.8088e-26         1.0043         3.3907
       789.7470        36.1381       789.7470        83.0981     2.4914e+04     5.1105e+02     7.5124e-25     3.4443e-26         1.7037        10.8907
       955.5938        49.5172       868.7217        89.0608     2.6261e+04     5.3902e+02     8.8349e-25     3.6999e-26         2.6061         5.8290
       789.7470        39.7203       789.7470        93.9845     2.1133e+04     4.7971e+02     6.6583e-25     3.3703e-26         8.6486         2.3319
       868.7217        45.8666       868.7217        98.2720     2.2086e+04     4.9127e+02     7.7730e-25     3.4975e-26         0.6586         3.6055
       789.7470        41.1549       789.7470        85.1256     2.0747e+04     4.7641e+02     7.4189e-25     3.4418e-26         8.9765         2.4472
       955.5938        57.4221       955.5938       143.0100     1.9016e+04     4.5236e+02     5.9899e-25     3.3013e-26         3.0784         7.0390
      1051.1532        63.9173      1051.1532       148.5002     2.1616e+04     4.9157e+02     6.7192e-25     3.3646e-26         1.9403        17.1775
       789.7470        43.4604       593.3486        67.0659     1.7963e+04     4.4155e+02     5.4174e-25     3.0418e-26         4.4281         3.0271
      2478.5643      1285.7031      2478.5643       735.1825     1.1965e+03     1.8794e+02     6.2153e-25     6.1356e-26        51.8630        68.4721
       129.1299         5.2488       156.2472        12.4360     3.1425e+04     6.4517e+02     9.9778e-25     4.1784e-26         7.1754         2.3156
       106.7190         2.9156       117.3909         7.0052     5.2588e+04     8.1129e+02     1.6197e-24     5.3703e-26         3.6424         2.5573
       189.0591         4.2498       171.8719         7.5642     7.0046e+04     9.0461e+02     2.4555e-24     6.4410e-26         3.1891         2.3552
       304.4816         5.7365       276.8015         8.7610     8.2400e+04     9.5714e+02     3.0546e-24     6.9729e-26         0.7409        10.1831
       368.4228         6.5546       334.9298        10.7122     9.3551e+04     1.0077e+03     3.5494e-24     7.5093e-26         0.4659         2.5388
       445.7916         7.6257       405.2651        13.7030     1.0632e+05     1.0623e+03     3.6299e-24     7.5337e-26         0.2462         9.2510
       539.4078        10.2608       490.3707        18.4896     9.9695e+04     1.0364e+03     3.2430e-24     7.0439e-26         2.9114         8.2752
       652.6834        13.7624       593.3486        25.1253     9.1491e+04     9.7240e+02     3.1391e-24     6.9724e-26         7.3419         7.6829
       789.7470        18.9803       717.9518        33.8522     8.7891e+04     9.5286e+02     3.1461e-24     6.8248e-26         4.0188         5.2142
       868.7217        21.4875       868.7217        45.4007     9.6571e+04     1.0042e+03     3.4805e-24     7.2637e-26         7.9246         8.3527
      1051.1532        28.1364       955.5938        53.0227     1.0564e+05     1.0608e+03     3.6049e-24     7.4387e-26         3.2875         4.5696
      1051.1532        28.1834       955.5938        53.2950     1.0763e+05     1.0791e+03     3.5653e-24     7.4273e-26         4.0425        10.1745
