Time (s) - Detector SiHi:amps (P) 	Primary Axis - Detector SiHi:amps (P) 	
18703.2	 1.43056E-6	
18704.2	 1.43041E-6	
18705.2	1.430019E-6	
18706.2	1.429565E-6	
18707.2	1.430016E-6	
18708.2	1.429031E-6	
18709.2	1.427997E-6	
18710.2	1.427123E-6	
18711.2	1.426922E-6	
18712.2	1.426584E-6	
18713.2	1.426773E-6	
18714.2	1.427256E-6	
18715.2	1.426905E-6	
18716.2	1.426589E-6	
18717.2	1.427033E-6	
18718.2	1.426792E-6	
18719.2	1.426602E-6	
18720.2	1.425802E-6	
18721.2	1.425579E-6	
18722.2	1.425738E-6	
18723.2	1.425355E-6	
18724.2	1.425912E-6	
18725.2	1.426637E-6	
18726.3	1.428792E-6	
18727.3	1.426949E-6	
18728.3	1.427383E-6	
18729.3	1.427756E-6	
18730.3	1.427351E-6	
18731.3	1.427191E-6	
18732.3	1.426701E-6	
18733.3	 1.42669E-6	
18734.3	1.426745E-6	
18735.3	 1.42664E-6	
18736.3	1.426631E-6	
18737.3	1.426567E-6	
18738.3	1.427404E-6	
18739.3	1.426365E-6	
18740.3	1.425975E-6	
18741.3	1.426131E-6	
18742.3	1.426434E-6	
18743.3	1.426626E-6	
18744.3	1.426991E-6	
18745.3	1.426385E-6	
18746.3	1.426284E-6	
18747.3	 1.42713E-6	
18748.3	1.427001E-6	
18749.3	1.426557E-6	
18750.3	1.426539E-6	
18751.3	1.425157E-6	
18752.3	1.424784E-6	
18753.3	  1.4263E-6	
18754.3	1.425829E-6	
18755.3	1.425032E-6	
18756.3	1.424489E-6	
18757.3	1.424204E-6	
18758.3	1.424453E-6	
18759.3	1.425902E-6	
18760.3	1.426163E-6	
18761.3	1.424864E-6	
18762.3	 1.42536E-6	
18763.3	1.425994E-6	
18764.3	1.425628E-6	
18765.3	1.424728E-6	
18766.3	1.425778E-6	
18767.3	 1.42525E-6	
18768.3	1.424698E-6	
18769.3	1.424517E-6	
18770.3	1.424326E-6	
