Time (s) - Detector SiHi:amps (P) 	Primary Axis - Detector SiHi:amps (P) 	
165.5	258.1872E-9	
166.1	258.0924E-9	
166.5	258.3406E-9	
167.5	 258.229E-9	
168.5	258.1078E-9	
169.5	257.6179E-9	
170.5	257.6814E-9	
171.5	257.8664E-9	
172.5	257.6973E-9	
173.5	 257.781E-9	
174.5	 257.864E-9	
175.5	257.7471E-9	
176.5	257.6443E-9	
177.5	257.5251E-9	
178.5	257.5966E-9	
179.5	257.1793E-9	
180.5	257.2065E-9	
181.5	256.8471E-9	
182.5	256.8823E-9	
183.5	257.1155E-9	
184.5	 257.022E-9	
185.5	257.2306E-9	
186.5	257.2396E-9	
187.5	 256.887E-9	
188.5	256.9386E-9	
189.5	256.7702E-9	
190.5	256.8562E-9	
191.5	256.6238E-9	
192.5	 256.359E-9	
193.5	256.5752E-9	
194.5	256.5842E-9	
195.5	256.6597E-9	
196.5	256.4871E-9	
197.5	255.9683E-9	
198.5	256.1457E-9	
199.5	256.1148E-9	
200.5	255.8566E-9	
201.5	255.9538E-9	
202.5	255.9125E-9	
203.5	255.5295E-9	
204.5	255.3308E-9	
205.5	255.6128E-9	
206.5	255.7156E-9	
207.5	255.3742E-9	
208.5	255.4152E-9	
209.5	255.2747E-9	
210.5	255.3477E-9	
211.6	255.2117E-9	
212.6	 255.292E-9	
213.6	255.2962E-9	
214.6	255.4076E-9	
215.6	 255.095E-9	
216.6	255.2474E-9	
217.6	255.1868E-9	
218.6	255.1839E-9	
219.6	255.0187E-9	
220.6	254.7805E-9	
221.6	254.4985E-9	
222.6	254.2844E-9	
223.6	253.9482E-9	
224.6	253.9088E-9	
225.6	253.9453E-9	
226.6	 253.989E-9	
227.6	 253.754E-9	
228.6	254.0685E-9	
229.6	254.2441E-9	
230.6	254.1174E-9	
231.6	 254.048E-9	
232.6	253.9888E-9	
233.6	253.8334E-9	
234.6	253.7451E-9	
235.6	253.8137E-9	
236.6	253.5834E-9	
237.6	253.5479E-9	
238.6	 253.463E-9	
239.6	253.7079E-9	
240.6	253.6332E-9	
241.6	253.4615E-9	
242.6	253.4522E-9	
243.6	 253.463E-9	
244.6	253.4524E-9	
245.6	253.6669E-9	
246.6	253.8233E-9	
247.6	254.0905E-9	
248.6	254.1254E-9	
249.6	253.8095E-9	
250.6	253.9509E-9	
251.6	253.4715E-9	
252.6	253.8066E-9	
253.6	253.4005E-9	
254.6	 253.566E-9	
255.6	253.2795E-9	
256.6	253.5204E-9	
257.6	252.7065E-9	
258.6	252.8054E-9	
259.6	252.5515E-9	
260.6	252.2718E-9	
261.6	254.4427E-9	
262.6	765.9257E-9	
263.6	10.74631E-6	
264.6	10.71216E-6	
265.6	10.72574E-6	
266.6	9.148586E-6	
267.6	7.150284E-6	
268.6	6.024961E-6	
269.6	5.616417E-6	
270.6	4.808044E-6	
271.6	4.124678E-6	
272.6	4.112034E-6	
273.6	4.104211E-6	
274.6	4.103967E-6	
275.6	 4.80102E-6	
276.6	4.983541E-6	
277.6	4.977743E-6	
278.6	4.981479E-6	
279.6	4.980201E-6	
280.6	4.978204E-6	
281.6	 4.97621E-6	
282.6	4.972908E-6	
283.6	4.989906E-6	
284.6	4.988557E-6	
285.6	4.992663E-6	
286.6	 4.97786E-6	
287.6	4.979667E-6	
288.6	4.985963E-6	
289.6	4.983625E-6	
290.6	4.977212E-6	
291.6	4.975909E-6	
292.6	4.969861E-6	
293.6	  4.9705E-6	
294.6	4.975602E-6	
295.6	4.972001E-6	
296.6	4.971959E-6	
297.6	4.962747E-6	
298.6	4.963402E-6	
299.6	4.956154E-6	
300.6	 4.95321E-6	
301.6	4.957289E-6	
302.6	4.955394E-6	
303.6	4.968713E-6	
304.6	4.964871E-6	
305.6	4.961498E-6	
306.6	4.955375E-6	
307.6	4.949752E-6	
308.6	4.952112E-6	
309.6	4.952862E-6	
310.6	4.953247E-6	
311.6	4.956408E-6	
312.6	4.956723E-6	
313.6	4.960256E-6	
314.6	4.956695E-6	
315.6	4.978992E-6	
316.6	4.973092E-6	
317.6	4.983251E-6	
318.6	4.979262E-6	
319.6	4.975759E-6	
320.6	  4.9731E-6	
321.6	4.972555E-6	
322.6	4.974116E-6	
323.6	4.976932E-6	
324.6	4.976055E-6	
325.6	4.971291E-6	
326.6	4.979427E-6	
327.6	4.975482E-6	
328.6	4.977699E-6	
329.6	4.968676E-6	
330.6	4.974283E-6	
331.6	4.974853E-6	
332.6	4.976892E-6	
333.6	4.979246E-6	
334.6	4.973645E-6	
335.6	4.968557E-6	
336.6	4.966924E-6	
337.6	4.966992E-6	
338.6	4.967028E-6	
339.6	 4.95927E-6	
340.6	4.958232E-6	
341.6	4.954955E-6	
342.6	 4.95693E-6	
343.6	4.953519E-6	
344.6	4.954515E-6	
345.6	4.958278E-6	
346.6	4.949056E-6	
347.6	4.960814E-6	
348.6	4.958091E-6	
349.6	4.959167E-6	
350.6	4.960276E-6	
351.6	4.959301E-6	
352.6	  4.9575E-6	
353.6	4.953532E-6	
