Time (s) - Detector SiHi:amps (P) 	Primary Axis - Detector SiHi:amps (P) 	
7574.6	4.702369E-6	
7575.6	4.703152E-6	
7576.6	4.702733E-6	
7577.6	4.705144E-6	
7578.6	4.701216E-6	
7579.6	 4.70558E-6	
7580.6	4.705632E-6	
7581.6	4.706937E-6	
7582.6	4.706781E-6	
7583.6	4.705042E-6	
7584.6	4.704407E-6	
7585.6	   4.703E-6	
7586.6	4.703532E-6	
7587.6	4.703365E-6	
7588.6	4.702574E-6	
7589.6	4.704284E-6	
7590.6	4.708061E-6	
7591.6	4.694778E-6	
7592.6	4.697189E-6	
7593.6	4.703535E-6	
7594.6	4.706629E-6	
7595.6	 4.70327E-6	
7596.6	4.696591E-6	
7597.6	4.703097E-6	
7598.6	4.701124E-6	
7599.6	4.702518E-6	
7600.6	4.702914E-6	
7601.6	4.703822E-6	
7602.6	4.694424E-6	
7603.6	 4.70422E-6	
7604.6	4.700319E-6	
7605.6	4.697746E-6	
7606.6	4.700428E-6	
7607.6	4.694233E-6	
7608.6	4.700174E-6	
7609.6	4.693906E-6	
7610.6	4.703198E-6	
7611.6	4.704114E-6	
7612.6	4.696903E-6	
7613.6	4.697169E-6	
7614.6	4.705363E-6	
7615.6	4.702108E-6	
7616.6	4.698865E-6	
7617.6	4.700689E-6	
7618.6	4.696205E-6	
7619.6	4.699574E-6	
7620.6	4.694712E-6	
7621.6	4.695157E-6	
7622.6	4.707558E-6	
7623.6	4.703363E-6	
7624.6	4.690178E-6	
7625.6	 4.70165E-6	
7626.6	4.702271E-6	
7627.6	 4.70477E-6	
7628.6	4.700179E-6	
7629.6	4.701856E-6	
7630.6	4.704836E-6	
7631.6	4.701959E-6	
7632.6	4.701482E-6	
7633.6	4.695199E-6	
7634.6	4.706849E-6	
7635.6	4.696065E-6	
7636.6	4.704708E-6	
7637.6	4.694065E-6	
7638.6	4.705328E-6	
7639.6	4.707401E-6	
7640.6	4.694781E-6	
7641.6	4.696231E-6	
7642.6	 4.70496E-6	
7643.6	4.705979E-6	
7644.6	4.698055E-6	
7645.6	4.702878E-6	
7646.6	4.704301E-6	
7647.6	4.699021E-6	
7648.6	4.695162E-6	
7649.6	4.702605E-6	
7650.6	4.703054E-6	
7651.6	4.700497E-6	
7652.6	4.701248E-6	
7653.6	4.699288E-6	
7654.6	 4.69909E-6	
7655.6	4.692702E-6	
7656.6	4.700247E-6	
7657.6	4.700848E-6	
7658.6	 4.70013E-6	
7659.6	4.700628E-6	
7660.6	4.700422E-6	
7661.6	4.699827E-6	
7662.6	4.704362E-6	
7663.6	4.700265E-6	
7664.6	 4.70187E-6	
7665.6	 4.70279E-6	
7666.6	4.703295E-6	
7667.6	4.705998E-6	
7668.6	4.704431E-6	
7669.6	4.706686E-6	
7670.6	4.702528E-6	
7671.6	4.707551E-6	
7672.6	4.708611E-6	
7673.6	4.697278E-6	
7674.6	4.705353E-6	
7675.6	4.699918E-6	
7676.6	4.697035E-6	
7677.6	4.697268E-6	
7678.6	 4.70229E-6	
7679.6	4.700541E-6	
7680.6	4.705447E-6	
7681.6	4.708889E-6	
7682.6	4.703165E-6	
7683.6	4.701455E-6	
7684.6	4.701552E-6	
7685.6	4.703774E-6	
7686.6	4.703564E-6	
7687.6	4.703033E-6	
7688.6	4.705723E-6	
7689.6	4.697532E-6	
7690.6	4.704822E-6	
7691.6	4.703997E-6	
7692.6	4.705301E-6	
7693.6	4.699103E-6	
7694.6	4.702763E-6	
7695.7	4.699414E-6	
7696.7	4.705815E-6	
7697.6	4.706262E-6	
7698.7	4.706613E-6	
7699.7	4.695685E-6	
7700.7	4.699872E-6	
7701.7	4.696164E-6	
7702.7	4.705845E-6	
7703.7	4.704247E-6	
7704.7	4.701348E-6	
7705.7	4.704831E-6	
7706.7	4.707834E-6	
7707.7	4.703029E-6	
7708.7	4.699174E-6	
7709.7	4.704067E-6	
7710.7	4.702859E-6	
7711.7	4.704597E-6	
7712.7	4.707663E-6	
7713.7	4.706074E-6	
7714.7	 4.70344E-6	
7715.7	4.703851E-6	
7716.7	4.699206E-6	
7717.7	4.699573E-6	
7718.7	4.702658E-6	
7719.7	4.698073E-6	
